"order_id","customer_id","product_id","order_date","sales"
"Order ID","Customer ID","Product ID",NULL,"0"
"CA-2017-152156","CG-12520","FUR-BO-10001798","2017-08-11","261.96"
"CA-2017-152156","CG-12520","FUR-CH-10000454","2017-08-11","731.94"
"CA-2017-138688","DV-13045","OFF-LA-10000240","2017-12-06","14.62"
"US-2016-108966","SO-20335","FUR-TA-10000577","2016-11-10","957.578"
"US-2016-108966","SO-20335","OFF-ST-10000760","2016-11-10","22.368"
"CA-2015-115812","BH-11710","FUR-FU-10001487","2015-09-06","48.86"
"CA-2015-115812","BH-11710","OFF-AR-10002833","2015-09-06","7.28"
"CA-2015-115812","BH-11710","TEC-PH-10002275","2015-09-06","907.152"
"CA-2015-115812","BH-11710","OFF-BI-10003910","2015-09-06","18.504"
"CA-2015-115812","BH-11710","OFF-AP-10002892","2015-09-06","114.9"
"CA-2015-115812","BH-11710","FUR-TA-10001539","2015-09-06","1706.18"
"CA-2015-115812","BH-11710","TEC-PH-10002033","2015-09-06","911.424"
"CA-2018-114412","AA-10480","OFF-PA-10002365",NULL,"15.552"
"CA-2017-161389","IM-15070","OFF-BI-10003656","2017-05-12","407.976"
"US-2016-118983","HP-14815","OFF-AP-10002311",NULL,"68.81"
"US-2016-118983","HP-14815","OFF-BI-10000756",NULL,"2.544"
"CA-2015-105893","PK-19075","OFF-ST-10004186","2015-11-11","665.88"
"CA-2015-167164","AG-10270","OFF-ST-10000107",NULL,"55.5"
"CA-2015-143336","ZD-21925","OFF-AR-10003056",NULL,"8.56"
"CA-2015-143336","ZD-21925","TEC-PH-10001949",NULL,"213.48"
"CA-2015-143336","ZD-21925","OFF-BI-10002215",NULL,"22.72"
"CA-2017-137330","KB-16585","OFF-AR-10000246","2017-09-12","19.46"
"CA-2017-137330","KB-16585","OFF-AP-10001492","2017-09-12","60.34"
"US-2018-156909","SF-20065","FUR-CH-10002774",NULL,"71.372"
"CA-2016-106320","EB-13870","FUR-TA-10000577",NULL,"1044.63"
"CA-2017-121755","EH-13945","OFF-BI-10001634",NULL,"11.648"
"CA-2017-121755","EH-13945","TEC-AC-10003027",NULL,"90.57"
"US-2016-150630","TB-21520","FUR-BO-10004834",NULL,"3083.43"
"US-2016-150630","TB-21520","OFF-BI-10000474",NULL,"9.618"
"US-2016-150630","TB-21520","FUR-FU-10004848",NULL,"124.2"
"US-2016-150630","TB-21520","OFF-EN-10001509",NULL,"3.264"
"US-2016-150630","TB-21520","OFF-AR-10004042",NULL,"86.304"
"US-2016-150630","TB-21520","OFF-BI-10001525",NULL,"6.858"
"US-2016-150630","TB-21520","OFF-AR-10001683",NULL,"15.76"
"CA-2018-107727","MA-17560","OFF-PA-10000249",NULL,"29.472"
"CA-2017-117590","GH-14485","TEC-PH-10004977","2017-08-12","1097.54"
"CA-2017-117590","GH-14485","FUR-FU-10003664","2017-08-12","190.92"
"CA-2016-117415","SN-20710","OFF-EN-10002986",NULL,"113.328"
"CA-2016-117415","SN-20710","FUR-BO-10002545",NULL,"532.399"
"CA-2016-117415","SN-20710","FUR-CH-10004218",NULL,"212.058"
"CA-2016-117415","SN-20710","TEC-PH-10000486",NULL,"371.168"
"CA-2018-120999","LC-16930","TEC-PH-10004093","2018-10-09","147.168"
"CA-2017-101343","RA-19885","OFF-ST-10003479",NULL,"77.88"
"CA-2018-139619","ES-14080","OFF-ST-10003282",NULL,"95.616"
"CA-2017-118255","ON-18715","TEC-AC-10000171","2017-11-03","45.98"
"CA-2017-118255","ON-18715","OFF-BI-10003291","2017-11-03","17.46"
"CA-2015-146703","PO-18865","OFF-ST-10001713",NULL,"211.96"
"CA-2017-169194","LH-16900","TEC-AC-10002167",NULL,"45"
"CA-2017-169194","LH-16900","TEC-PH-10003988",NULL,"21.8"
"CA-2016-115742","DP-13000","OFF-BI-10004410",NULL,"38.22"
"CA-2016-115742","DP-13000","OFF-LA-10002762",NULL,"75.18"
"CA-2016-115742","DP-13000","FUR-FU-10001706",NULL,"6.16"
"CA-2016-115742","DP-13000","FUR-CH-10003061",NULL,"89.99"
"CA-2017-105816","JM-15265","OFF-FA-10000304","2017-11-12","15.26"
"CA-2017-105816","JM-15265","TEC-PH-10002447","2017-11-12","1029.95"
"CA-2017-111682","TB-21055","OFF-ST-10000604",NULL,"208.56"
"CA-2017-111682","TB-21055","OFF-PA-10001569",NULL,"32.4"
"CA-2017-111682","TB-21055","FUR-CH-10003968",NULL,"319.41"
"CA-2017-111682","TB-21055","OFF-PA-10000587",NULL,"14.56"
"CA-2017-111682","TB-21055","TEC-AC-10002167",NULL,"30"
"CA-2017-111682","TB-21055","OFF-BI-10001460",NULL,"48.48"
"CA-2017-111682","TB-21055","OFF-AR-10001868",NULL,"1.68"
"CA-2016-135545","KM-16720","TEC-AC-10004633",NULL,"13.98"
"CA-2016-135545","KM-16720","OFF-BI-10001078",NULL,"25.824"
"CA-2016-135545","KM-16720","OFF-PA-10003892",NULL,"146.73"
"CA-2016-135545","KM-16720","FUR-FU-10000397",NULL,"79.76"
"US-2016-164175","PS-18970","FUR-CH-10001146",NULL,"213.115"
"CA-2015-106376","BS-11590","OFF-AR-10002671","2015-05-12","1113.02"
"CA-2015-106376","BS-11590","TEC-PH-10002726","2015-05-12","167.968"
"CA-2017-119823","KD-16270","OFF-PA-10000482","2017-04-06","75.88"
"CA-2017-106075","HM-14980","OFF-BI-10004654",NULL,"4.616"
"CA-2018-114440","TB-21520","OFF-PA-10004675",NULL,"19.05"
"US-2016-134026","JE-15745","FUR-CH-10000513",NULL,"831.936"
"US-2016-134026","JE-15745","FUR-FU-10003708",NULL,"97.04"
"US-2016-134026","JE-15745","OFF-ST-10004123",NULL,"72.784"
"US-2018-118038","KB-16600","OFF-BI-10004182","2018-09-12","1.248"
"US-2018-118038","KB-16600","FUR-FU-10000260","2018-09-12","9.708"
"US-2018-118038","KB-16600","OFF-ST-10000615","2018-09-12","27.24"
"US-2015-147606","JE-15745","FUR-FU-10003194",NULL,"19.3"
"CA-2017-127208","SC-20770","OFF-AP-10002118","2017-12-06","208.16"
"CA-2017-127208","SC-20770","OFF-BI-10002309","2017-12-06","16.74"
"CA-2015-139451","DN-13690","OFF-AR-10002053","2015-12-10","14.9"
"CA-2015-139451","DN-13690","OFF-ST-10002370","2015-12-10","21.39"
